id,category,response,flag
1,STOP,Stop forbidding AI completely.,
2,STOP,Loomis should stop not trusting students about AI.,
3,STOP,"Majorly penalizing kids for minor use of AI, especially when the usage could be argued as appropriate and useful.",
4,STOP,Teachers should stop being so right and wrong when it comes to AI and understand that AI is everywhere.,
5,STOP,"Stop assuming that students will listen to teachers when they say, don't use AI on this assignment.",
6,STOP,Loomis should stop using AI generated posters. There's so many talented creators on campus.,
7,STOP,"Loomis should stop treating it as a bad thing, no matter what.",
8,STOP,Stop preventing the usage of AI for productive works. Be open towards AI-assisted outputs.,
9,STOP,Loomis should stop making AI bad in every case.,
10,STOP,Loomis should stop having a negative outlook on AI.,
11,STOP,"Loomis should not just assume that if a writing is well written, it was created by AI.",
12,STOP,Stop trying to prevent AI use in essays by only allowing handwritten in-class essays.,
13,STOP,"Loomis should stop not allowing kids to do what they need to do to be successful, as we are in such a competitive environment.",
14,STOP,Stop creating unnecessary stigma around AI. It can actually be useful for feedback or brainstorming.,
15,STOP,Create more workshops to reduce the fear of the utilization of AI.,
16,STOP,"Stop creating a stigma around AI. Students will use AI in the future, and you should teach students how to use it effectively across disciplines.",
17,STOP,"Loomis should stop letting gray areas be present within our criteria, within our artificial intelligence incorporation system (red, yellow, green).",
18,STOP,Teachers should not use AI to grade assessments. When the students aren't allowed to use AI.,
19,STOP,"Stop trying to get rid of AI. People are going to use it either way. Now or later, so we somehow have to incorporate.",
20,STOP,"Loomis should stop having a negative look on AI, especially when so many teachers encourage using it.",
21,STOP,Stop acting like AI is the end of the world.,
22,STOP,"Loomis should stop treating teachers versus student differently when it comes to AI. If students will be punished for AI use, teachers should also be held accountable.",
23,STOP,"Stop framing convos about AI and policy in a fear-based, disgusting way, make them more neutral and open.",
24,STOP,"At Loomis, we should stop banning or thinking negatively about AI. Additionally, there's the go-to mindset that if a student submits a really good response or essay, it is immediately assumed to be AI generated.",
25,STOP,Stop using AI for critical thinking.,
26,STOP,Stop. And we should stop making AI something that should be feared.,
27,STOP,"Stop encouraging the use of AI. Rather, leave it up to the teacher to decide when how to use it.",
28,STOP,Stop pressuring students to use AI for a variety of subjects.,
29,STOP,Loomis should stop saying AI is bad in all cases.,
30,STOP,"Stop allowing teachers to use AI for comments, recommendations and feedback comments.",
31,STOP,Loomis should stop only having negative perspective on AI.,
32,STOP,Loomis Chaffee should stop assuming that AI use is ubiquitous and inevitable.,
33,STOP,Loomis Chaffee should stop assuming that AI uses ubiquitous and inevitable.,
34,STOP,"There are some assignments and teachers that almost criminalize the use of AI, and I think it should always be available as a resource.",
35,STOP,"There are some assignments in teachers that almost criminalize the use of AI, and I think it should always be available as a resource.",
36,STOP,"Stop just penalizing/punishing immediately. Understand where the student is coming from, and help them back on track — i.e., teach them how to manage time better.",
37,STOP,"Stop leaving the interpretation of AI guidelines up to students, which jeopardizes them or causes students to be in trouble for doing something they didn't know wasn't okay.",
38,STOP,Stop assuming in-class or Harkness discussions curb cheating — they don't.,
39,STOP,"Stop assuming in class of Harkness curb cheating, it doesn't.",
40,STOP,Loomis should stop including mentions of using AI so often in all school meetings. I think AI should also not be encouraged anywhere near an artistic space. Arts are for self-expression.,
41,STOP,Stop making all conversation around AI negative or a hard no. Recognize there are good ways to use it too.,
42,STOP,Stop making all combo around AI negative or a hard no. Recognize there's good ways to use it too.,
